,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
27,0.687,0.702,-5.324,0.0455,4.35e-05,0.284,129.956,0.0064,7,0,4
28,0.375,0.93,-2.631,0.0561,0,0.491,147.124,0.00064,2,1,4
29,0.597,0.524,-7.247,0.0537,0,0.0549,92.568,0.216,11,1,4
30,0.644,0.735,-5.747,0.0391,0.144,0.418,88.98,0.0521,8,1,4
31,0.39,0.83,-5.201,0.0563,0,0.191,90.021,0.0021,11,0,4
32,0.855,0.488,-4.601,0.208,0,0.619,124.097,0.506,3,1,4
33,0.473,0.579,-5.824,0.0384,0,0.255,73.942,0.214,4,1,4
34,0.535,0.388,-9.805,0.155,0,0.412,106.703,0.507,7,0,5
35,0.584,0.557,-6.371,0.0342,0,0.767,154.008,0.0129,6,1,4
36,0.638,0.699,-6.542,0.0892,0,0.57,121.122,0.0203,1,1,4
37,0.606,0.819,-4.804,0.049,0,0.744,75.006,0.00298,9,1,4
38,0.332,0.225,-8.697,0.0348,0.00349,0.297,81.055,0.767,0,1,3
39,0.703,0.657,-5.363,0.0783,0,0.455,82.96,0.139,4,1,4
40,0.701,0.728,-5.226,0.0468,0,0.696,91.071,0.0178,2,1,4
41,0.584,0.743,-7.075,0.0931,2.83e-06,0.746,167.844,0.0538,4,1,4
42,0.514,0.446,-6.582,0.0373,0,0.369,170.083,0.766,2,1,4
43,0.598,0.821,-4.433,0.0447,0,0.673,128.03,0.0231,10,1,4
44,0.391,0.715,-4.516,0.0495,0,0.473,149.654,0.167,0,1,3
45,0.631,0.518,-8.771,0.0303,0,0.205,93.023,0.274,0,1,4
46,0.866,0.508,-8.591,0.058,8.35e-06,0.476,117.951,0.769,8,0,4
47,0.647,0.785,-5.414,0.165,0,0.943,160.015,0.0561,7,1,4
48,0.771,0.671,-5.617,0.0553,0,0.714,85.026,0.00929,2,1,4
49,0.592,0.41,-12.426,0.0397,1.39e-05,0.416,151.923,0.801,0,1,4
50,0.56,0.78,-4.895,0.0517,0,0.602,93.516,0.00244,5,0,4
51,0.546,0.613,-7.589,0.0264,0,0.535,79.015,0.418,7,0,4
52,0.689,0.704,-10.813,0.245,4.83e-06,0.92,151.884,0.835,9,1,5
53,0.564,0.849,-2.619,0.248,0,0.634,157.905,0.00255,4,0,4
54,0.672,0.593,-4.01,0.0304,0,0.438,98.02,0.0223,11,0,4
55,0.758,0.665,-5.188,0.0774,0.000157,0.643,151.976,0.0815,2,0,4
56,0.334,0.599,-5.742,0.0365,0.000392,0.127,161.74,0.0468,0,1,3
57,0.59,0.903,-4.478,0.0363,0,0.542,107.023,0.0232,1,0,4
58,0.273,0.517,-5.853,0.0313,0,0.16,168.213,0.0801,9,1,4
59,0.752,0.698,-6.53,0.306,0,0.347,132.058,0.52,11,1,4
60,0.567,0.686,-6.139,0.175,1.86e-06,0.716,172.014,0.0317,7,1,4
61,0.695,0.575,-6.334,0.116,0,0.699,163.929,0.198,10,0,4
62,0.462,0.24,-12.077,0.0377,0,0.32,171.319,0.92,0,1,4
63,0.8,0.627,-5.892,0.0633,0,0.693,104.96,0.296,11,0,4
64,0.585,0.776,-5.898,0.0459,7.74e-06,0.427,77.987,0.0572,5,1,4
65,0.836,0.544,-5.975,0.0943,0,0.51,97.028,0.0403,7,1,4
66,0.724,0.695,-5.226,0.0622,0,0.235,139.0,0.073,11,1,4
67,0.826,0.615,-4.729,0.137,0.00631,0.841,102.999,0.435,1,0,4
68,0.794,0.793,-4.521,0.0842,0,0.677,123.941,0.0125,11,0,4
69,0.524,0.397,-11.936,0.405,0,0.552,80.744,0.745,0,1,4
70,0.701,0.724,-5.751,0.145,0,0.425,132.035,0.267,0,0,4
71,0.425,0.743,-5.54,0.148,0,0.344,84.748,0.012,11,0,4
72,0.768,0.486,-5.954,0.0353,0,0.519,125.021,0.408,3,1,4
73,0.654,0.655,-7.388,0.106,0,0.221,170.16,0.0294,11,0,4
74,0.863,0.667,-3.891,0.0508,0.000341,0.892,120.011,0.0154,0,1,4
75,0.638,0.75,-4.2,0.0267,0,0.539,97.978,0.0124,4,1,4
76,0.215,0.203,-12.65,0.0346,0.0585,0.143,78.287,0.968,5,1,1
77,0.386,0.592,-7.299,0.374,0,0.161,146.879,0.363,11,1,4
78,0.721,0.457,-6.916,0.159,0,0.63,129.98,0.308,0,1,4
79,0.34,0.684,-6.306,0.044,0,0.556,112.969,0.00979,11,1,4
80,0.726,0.605,-5.673,0.0628,0,0.588,93.93,0.0113,6,1,4
81,0.562,0.689,-6.745,0.127,2.23e-06,0.351,172.054,0.00465,2,1,4
82,0.406,0.818,-3.977,0.119,0,0.632,179.846,0.0885,9,1,4
83,0.52,0.614,-7.587,0.0277,0.00199,0.436,143.008,0.0413,10,1,4
84,0.654,0.566,-7.987,0.0269,0.00814,0.52,104.862,0.00302,8,1,4
85,0.322,0.698,-3.812,0.0542,0,0.288,183.963,0.00507,1,0,4
86,0.447,0.694,-4.637,0.382,5.46e-06,0.509,175.868,0.0293,7,0,4
87,0.479,0.906,-4.03,0.188,0,0.536,155.887,0.0406,0,0,4
88,0.735,0.826,-4.902,0.0349,0.129,0.74,132.964,0.00101,1,1,4
89,0.781,0.728,-4.981,0.0621,1.94e-06,0.395,102.99,0.0509,1,1,4
90,0.599,0.742,-6.886,0.0419,0.32,0.493,131.014,0.0488,11,1,4
91,0.706,0.544,-7.275,0.0306,0,0.477,115.935,0.0273,2,1,4
92,0.345,0.612,-6.543,0.0608,0,0.232,179.773,0.232,7,0,3
93,0.781,0.738,-3.885,0.195,5.87e-05,0.912,95.117,0.309,6,1,4
94,0.473,0.655,-5.144,0.0373,1.12e-06,0.295,131.975,0.069,7,1,4
95,0.64,0.553,-6.42,0.0411,0,0.486,81.992,0.0579,2,0,4
96,0.515,0.387,-10.614,0.192,0,0.408,86.313,0.757,7,1,3
97,0.642,0.62,-7.091,0.0666,0,0.0969,90.02,0.0734,8,1,4
98,0.87,0.279,-11.134,0.364,1.74e-05,0.16,79.996,0.16,4,0,4
99,0.483,0.84,-6.508,0.119,0.000575,0.55,157.979,0.43,7,1,4
100,0.435,0.768,-5.352,0.201,0.000231,0.378,107.588,0.0857,6,0,4
101,0.656,0.838,-8.407,0.041,0.00281,0.74,132.981,0.25,5,1,4
102,0.707,0.681,-4.325,0.0668,5.15e-06,0.646,117.999,0.0632,0,1,4
103,0.696,0.559,-9.19,0.0693,5.58e-05,0.433,163.999,0.0618,7,1,4
104,0.787,0.686,-4.37,0.0339,0,0.836,123.51,0.0893,6,0,4
105,0.561,0.67,-6.174,0.0376,0.000108,0.803,87.566,0.0317,2,1,4
106,0.509,0.62,-7.581,0.0267,0.0012,0.439,71.495,0.0435,10,1,4
